year	county	measure	rate	numerator	denominator	per
2016	Alamance	Maltreatment in foster care	4.966969651815427	2	40266	100000
2016	Alamance	[HB630 - CWS2] Recurrence of maltreatment	0.07643312101910828	24	314	1
2016	Alamance	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.5164835164835165	47	91	1
2016	Alamance	Permanency in 12 months for children in foster care 12-23 months	0.3870967741935484	12	31	1
2016	Alamance	Permanency in 12 months for children in foster care for 24 months or more	0.05263157894736842	1	19	1
2016	Alamance	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	38	1
2016	Alamance	[HB630 - CWS5] Placement stability	5.567153792623522	40	7185	1000
2017	Alamance	Maltreatment in foster care	7.880427644540177	3	38069	100000
2017	Alamance	[HB630 - CWS2] Recurrence of maltreatment	0.06707317073170732	22	328	1
2017	Alamance	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.3333333333333333	15	45	1
2017	Alamance	Permanency in 12 months for children in foster care 12-23 months	0.625	20	32	1
2017	Alamance	Permanency in 12 months for children in foster care for 24 months or more	0.25	8	32	1
2017	Alamance	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	19	1
2017	Alamance	[HB630 - CWS5] Placement stability	6.238859180035651	77	12342	1000
2018	Alamance	Maltreatment in foster care	5.129125740517528	2	38993	100000
2018	Alamance	[HB630 - CWS2] Recurrence of maltreatment	0.04819277108433735	16	332	1
2018	Alamance	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.41935483870967744	39	93	1
2018	Alamance	Permanency in 12 months for children in foster care 12-23 months	0.7058823529411765	12	17	1
2018	Alamance	Permanency in 12 months for children in foster care for 24 months or more	0.23076923076923078	6	26	1
2018	Alamance	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	33	1
2018	Alamance	[HB630 - CWS5] Placement stability	7.5075075075075075	65	8658	1000
2019	Alamance	Maltreatment in foster care	8.451656524678837	3	35496	100000
2019	Alamance	[HB630 - CWS2] Recurrence of maltreatment	0.07621951219512195	25	328	1
2019	Alamance	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.37735849056603776	20	53	1
2019	Alamance	Permanency in 12 months for children in foster care 12-23 months	0.6842105263157895	26	38	1
2019	Alamance	Permanency in 12 months for children in foster care for 24 months or more	0.2	4	20	1
2019	Alamance	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	17	1
2019	Alamance	[HB630 - CWS5] Placement stability	6.475337756815094	81	12509	1000
2016	Alexander	Maltreatment in foster care	4.591157430788302	1	21781	100000
2016	Alexander	[HB630 - CWS2] Recurrence of maltreatment	0.23648648648648649	35	148	1
2016	Alexander	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.4	12	30	1
2016	Alexander	Permanency in 12 months for children in foster care 12-23 months	0.6111111111111112	11	18	1
2016	Alexander	Permanency in 12 months for children in foster care for 24 months or more	0.32	8	25	1
2016	Alexander	[HB630 - CWS4] Re-entry to foster care in 12 months	0.07692307692307693	1	13	1
2016	Alexander	[HB630 - CWS5] Placement stability	4.040758959943781	23	5692	1000
2017	Alexander	Maltreatment in foster care	0	0	17611	100000
2017	Alexander	[HB630 - CWS2] Recurrence of maltreatment	0.13445378151260504	16	119	1
2017	Alexander	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.08695652173913043	2	23	1
2017	Alexander	Permanency in 12 months for children in foster care 12-23 months	0.5833333333333334	7	12	1
2017	Alexander	Permanency in 12 months for children in foster care for 24 months or more	0.19047619047619047	4	21	1
2017	Alexander	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	6	1
2017	Alexander	[HB630 - CWS5] Placement stability	9.897360703812316	27	2728	1000
2018	Alexander	Maltreatment in foster care	0	0	18992	100000
2018	Alexander	[HB630 - CWS2] Recurrence of maltreatment	0.10714285714285714	9	84	1
2018	Alexander	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.05263157894736842	1	19	1
2018	Alexander	Permanency in 12 months for children in foster care 12-23 months	0.3	3	10	1
2018	Alexander	Permanency in 12 months for children in foster care for 24 months or more	0.3684210526315789	7	19	1
2018	Alexander	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	1	1
2018	Alexander	[HB630 - CWS5] Placement stability	10.072522159548752	50	4964	1000
2019	Alexander	Maltreatment in foster care	0	0	18728	100000
2019	Alexander	[HB630 - CWS2] Recurrence of maltreatment	0.11494252873563218	10	87	1
